component	occ_ttl	selected
43-4181	Reservation and Transportation Ticket Agents and Travel Clerks	false
43-5011	Cargo and Freight Agents	false
43-5021	Couriers and Messengers	false
43-5031	Public Safety Telecommunicators	false
43-5032	Dispatchers, Except Police, Fire, and Ambulance	false
43-5041	Meter Readers, Utilities	false
43-5051	Postal Service Clerks	false
43-5052	Postal Service Mail Carriers	false
43-5053	Postal Service Mail Sorters, Processors, and Processing Machine Operators	false
43-5061	Production, Planning, and Expediting Clerks	false
43-5071	Shipping, Receiving, and Inventory Clerks	false
43-5111	Weighers, Measurers, Checkers, and Samplers, Recordkeeping	false
43-6011	Executive Secretaries and Executive Administrative Assistants	false
43-6014	Secretaries and Administrative Assistants, Except Legal, Medical, and Executive	false
43-9031	Desktop Publishers	false
43-9051	Mail Clerks and Mail Machine Operators, Except Postal Service	false
43-9061	Office Clerks, General	false
43-9071	Office Machine Operators, Except Computer	false
43-9081	Proofreaders and Copy Markers	false
43-9111	Statistical Assistants	false
45-1011	First-Line Supervisors of Farming, Fishing, and Forestry Workers	false
45-2011	Agricultural Inspectors	false
45-2021	Animal Breeders	false
45-2041	Graders and Sorters, Agricultural Products	false
45-2091	Agricultural Equipment Operators	false
45-2092	Farmworkers and Laborers, Crop, Nursery, and Greenhouse	false
45-2093	Farmworkers, Farm, Ranch, and Aquacultural Animals	false
45-4011	Forest and Conservation Workers	false
45-4021	Fallers	false
45-4022	Logging Equipment Operators	false
45-4023	Log Graders and Scalers	false
47-1011	First-Line Supervisors of Construction Trades and Extraction Workers	false
47-2011	Boilermakers	false
47-2021	Brickmasons and Blockmasons	false
47-2022	Stonemasons	false
47-2031	Carpenters	false
47-2041	Carpet Installers	false
47-2042	Floor Layers, Except Carpet, Wood, and Hard Tiles	false
47-2043	Floor Sanders and Finishers	false
47-2044	Tile and Stone Setters	false
47-2051	Cement Masons and Concrete Finishers	false
47-2053	Terrazzo Workers and Finishers	false
47-2061	Construction Laborers	false
47-2071	Paving, Surfacing, and Tamping Equipment Operators	false
47-2072	Pile Driver Operators	false
47-2073	Operating Engineers and Other Construction Equipment Operators	false
47-2081	Drywall and Ceiling Tile Installers	false
47-2082	Tapers	false
47-2111	Electricians	false
47-2121	Glaziers	false
47-2131	Insulation Workers, Floor, Ceiling, and Wall	false
47-2132	Insulation Workers, Mechanical	false
47-2141	Painters, Construction and Maintenance	false
47-2142	Paperhangers	false
47-2151	Pipelayers	false
47-2152	Plumbers, Pipefitters, and Steamfitters	false
47-2161	Plasterers and Stucco Masons	false
47-2171	Reinforcing Iron and Rebar Workers	false
47-2181	Roofers	false
47-2211	Sheet Metal Workers	false
47-2221	Structural Iron and Steel Workers	false
47-2231 | 47-4091 | 47-4099	Miscellaneous Construction and Related Workers; Solar Photovoltaic Installers	false
47-3011	Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters	false
47-3012	Helpers--Carpenters	false
47-3013	Helpers--Electricians	false
47-3014	Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons	false
47-3015	Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters	false
47-3016	Helpers--Roofers	false
47-4021	Elevator and Escalator Installers and Repairers	false
47-4031	Fence Erectors	false
47-4041	Hazardous Materials Removal Workers	false
47-4051	Highway Maintenance Workers	false
47-4061	Rail-Track Laying and Maintenance Equipment Operators	false
47-4071	Septic Tank Servicers and Sewer Pipe Cleaners	false
