account	year	gfcf	volume
441	2015	2294.414866279587	2332.691740400972
441	2016	2357.4197151490544	2390.5874117863186
441	2017	2571.2759101373026	2571.2759101373026
441	2018	2689.0064266034165	2643.9452467611723
441	2019	2741.4327090745383	2592.163843495585
441	2020	2578.476390325974	2520.4116926029974
441	2021	3411.650729278311	3268.9887965108223
441	2022	3932.9004673047334	3697.3034375052
441	2023	4164.530656239365	3943.147177199203
445	1997	589.8498323110169	686.1202892992989
445	1998	642.2229037779665	718.7554955014756
445	1999	671.285562792172	726.9029901133403
445	2000	658.552250537509	654.0666017011679
445	2001	711.9033682308684	669.6783341771408
445	2002	579.5351703140093	557.0615598739294
445	2003	596.0022832870661	565.513235220511
445	2004	671.5017755373098	638.807274008234
445	2005	742.634317187975	709.4101753849907
445	2006	719.0781857784864	686.6298452647823
445	2007	735.6514592681502	705.7713406147108
445	2008	754.6954969649493	713.2205412232228
445	2009	722.9119742647416	713.9481013565475
445	2010	710.475958838808	711.4667625276525
445	2011	693.271918679331	702.4803807710742
445	2012	706.3067299943752	707.6404918290473
445	2013	734.2489505560892	748.8052732634679
445	2014	771.2803193364439	789.5133636219709
445	2015	867.6992046816067	882.1747094043765
445	2016	843.6989347606295	855.569349749313
445	2017	799.3704202227077	799.3704202227077
445	2018	736.6998085575278	724.3545191470115
445	2019	684.1797236681775	646.9266731497329
445	2020	649.0574928924278	634.4413702585232
445	2021	577.3330242349597	553.1912079637257
445	2022	808.9237804191619	760.4658950530537
445	2023	792.4891932547786	750.3610330402245
452	1997	265.8431262219705	309.23186323035543
452	1998	289.43809554545294	323.9299323599003
452	1999	306.39479437357676	331.78025050758947
452	2000	342.3053351059155	339.97376380411225
452	2001	370.12364131181283	348.1705447878858
452	2002	337.83987272618896	324.7388875234088
452	2003	321.1703661294625	304.740598987517
452	2004	361.9136318810996	344.29255294729944
452	2005	437.1366051269103	417.57988896140165
452	2006	438.76027580967605	418.96125657236496
452	2007	413.7102263776141	396.9064662591984
452	2008	493.3865176682876	466.2720270344484
452	2009	535.6217926551632	528.9802569673592
452	2010	515.0350489866287	515.7532979577188
452	2011	509.72931789384324	516.4998547847898
452	2012	455.0504709898211	455.9097703923067
452	2013	459.01839909740283	468.11833712363466
452	2014	446.43660364035264	456.9903519479173
452	2015	472.4684247029561	480.3504405861639
452	2016	519.295759148793	526.6019864165902
452	2017	527.0924980656301	527.0924980656301
452	2018	489.7441847584035	481.5372684164566
452	2019	386.344719915021	365.3085522669003
452	2020	288.95625596762864	282.44925139668413
452	2021	192.92037521933005	184.8531972509567
452	2022	472.2253687289255	443.93711297635383
452	2023	711.0398083224295	673.2414393113547
481	1997	198.87365741235712	231.3321864027045
481	1998	228.26832525207476	255.4706664285676
481	1999	260.4593808004043	282.03899085715716
481	2000	364.64996549529394	362.166196451819
481	2001	503.6525187138629	473.7794408454605
481	2002	619.6430584952594	595.6141169886087
481	2003	639.4446088713809	606.7332284581136
481	2004	529.3479037253477	503.5746794715277
