industry	account	line	level	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
        Truck transportation	484	44	2	539.2893299135261	597.7282260798884	667.3732258857714	759.6632588702973	783.5238784695366	871.4784187479614	826.5302353878153	913.738696634771	945.552051593742	980.7168678876363	1032.2294737446414	1049.505361415419	991.644176086696	968.8571465479381	980.957728124735	1091.740176846121	1102.7106216425886	1186.0984633872574	1273.6302422248702	1401.8490333456098	1448.347017423307	1582.3002729608454	1708.076981726063	1665.9159664098706	1873.6623048383817	2405.348637826539	2292.6627677222045
        Transit and ground passenger transportation	485	45	2	77.55022396876502	81.041016843792	93.69004885634808	88.96022855512676	99.76894275475722	111.36321562567687	125.80893939165307	134.06696166315655	129.7588479961987	142.7003162550991	145.13340020587788	159.24820576100694	154.39440604872246	166.40487824354233	143.7983689256122	134.31790510631856	147.94647603317466	179.70524944833016	195.39079741230088	228.88227881244194	240.3097754341008	253.11010417423466	356.8147319660255	265.72215450022856	378.0439989253503	391.2059939236309	792.3823399252669
        Pipeline transportation	486	46	2	119.4072797093957	124.29850292511873	137.99275964650056	175.68125882132895	175.32591510996326	115.00593371683313	110.65515429078745	138.5995528862752	141.17144533950318	151.02669062382603	145.19177460118897	159.7337932774136	156.6705293464755	175.99842290992174	202.3031391707458	242.41270836837546	234.9987571902627	245.93034490445055	288.21254395813907	255.58760022742297	306.67919053138417	318.8794525798674	292.43769692059294	273.9535974996424	201.62067841769294	340.3952679196308	357.2470258390709
        Other transportation and support activities	487OS	47	2	613.4534271114826	683.3628379636707	721.4017254538436	892.7914063134048	964.0316481650462	788.3937135079478	900.2008545691906	1027.8171998340342	1095.8566829944132	1119.4665746951116	1279.4727945976447	970.7397908320996	1236.03240905227	1143.3674480587797	1190.2863491103574	1225.701238347601	1535.047405421498	1626.980556124312	1840.434392853525	1914.8283589630137	2057.786054548876	1960.6679686230605	2220.7281252078196	2297.353369548079	2363.54046408191	2893.2794258251247	2828.319526422389
        Warehousing and storage	493	48	2	243.45669713340877	264.5724194954788	257.6330757987181	327.31168909349	371.84705565398684	376.35652876636556	408.83745138432994	475.309457176454	448.6437010319518	446.82841466446257	515.6924470571705	530.8504983846512	541.1111380795082	494.8132781283816	471.75465892972784	498.59825255310255	486.2222803915075	541.0080884429582	584.3249376581417	690.5073413141495	705.3191121552055	697.9583418162073	740.3987660973906	795.6623070827004	872.71792189782	1132.0372708840614	1182.7671289677774
    Information	51	49	1	7440.900447327658	8689.178551513618	10141.09967399656	11237.199586761933	13137.118380963551	13882.400518887662	14708.82682503846	14298.975819522555	14286.975208308015	15185.601922179556	15131.260800278302	15436.886222912632	14913.707156504901	14630.182579185423	16354.583525761565	18168.84891402129	20679.205751193513	23116.409378227305	26331.28801123484	28287.145675862204	32043.70537799269	35008.851734538985	37900.8173967744	41949.82289661303	56257.17769748384	52151.636907401014	61875.150987763984
        Publishing industries, except internet (includes software)	511	50	2	2881.4887261422	3455.468950918856	4089.577620970173	4768.2835468045	4779.282533544573	4833.484596952441	5125.374029231763	4946.7477093234365	5159.370181409007	5346.779473352154	5924.849709200967	5959.314341893241	6023.215769712171	5864.560135446242	6648.884542777641	7306.029239321445	7980.7105081351965	9084.714328177835	10290.288480603025	10974.995328324978	11942.053686584117	13069.158794394607	14772.882105432825	17080.61766451804	21481.77730243509	9583.33063417137	15422.31023962468
        Motion picture and sound recording industries	512	51	2	368.4700847322658	389.1541931199979	390.0737416463182	549.5390198578888	610.8666822929387	859.0884399266986	888.9048739601722	573.7360127636298	526.0945288951609	809.0820304657456	738.2816324785183	814.7996143860695	591.8148927071585	680.1908692453516	751.1625054793572	872.8317026759129	684.6022966103118	820.5861845959454	1038.8734018918296	1039.5336344247692	1241.8521514983318	1277.0655674065208	1208.1323036024205	1026.5592177153687	2109.0104136407585	1589.7983508679474	1572.2573615941978
        Broadcasting and telecommunications	513	52	2	2275.0534409115576	2556.674295060774	3026.853819122837	3470.583729002617	3659.1618732907855	3892.2942489889365	4226.160791539995	4075.0886140861126	3759.0345460375142	3591.67373773595	3775.2632047381762	3909.9009006667725	3816.8245812840432	3398.185528565113	3533.5936451909856	3780.5338867369005	4216.393552203559	4613.333004539649	4635.753138688089	4961.64124088145	5458.998388667593	5518.820109003516	5322.735799879772	4842.557823792821	4847.465952669788	12704.287928523787	13494.329021488697
        Data processing, internet publishing, and other information services	514	53	2	1915.8881955416346	2287.881112413991	2634.5944922572317	2448.793291096928	4087.8072918352545	4297.533233019585	4468.387130306529	4703.403483349376	4842.475951966333	5438.066680625707	4692.866253860641	4752.871365966547	4481.85191280153	4687.246045928716	5420.942832313582	6209.454085287032	7797.4993942444435	8597.775860913876	10366.372990051896	11310.975472231006	13400.80115124265	15143.807263734343	16597.067187859382	19000.0881905868	27818.92402873821	28274.219993837913	31386.25436505641
