%SeriesCode,SeriesLabel,MetricName,CalculationType,DefaultScale,TableId:LineNo,SeriesCodeParents
B911RC,"Installation support","Current Dollars","Level",-6,T31105:22,A489RC
B911RG,"Installation support","Fisher Price Index","Level",0,T31104:22,NONE
B911RL,"Installation support","Fisher Quantity Index","Percent change, annual rate",0,T31101:22,NONE
B911RN,"Installation support","Quantity Contributions","Level",0,T31102:22,NONE
B911RX,"Installation support","Chained Dollars","Level",-6,T31106:22,NONE
B912RA,"Weapons support","Fisher Quantity Index","Level",0,T31103:23,NONE
B912RC,"Weapons support","Current Dollars","Level",-6,T31105:23,A489RC
B912RG,"Weapons support","Fisher Price Index","Level",0,T31104:23,NONE
B912RL,"Weapons support","Fisher Quantity Index","Percent change, annual rate",0,T31101:23,NONE
B912RN,"Weapons support","Quantity Contributions","Level",0,T31102:23,NONE
B912RX,"Weapons support","Chained Dollars","Level",-6,T31106:23,NONE
B913RA,"Personnel support","Fisher Quantity Index","Level",0,T31103:24,NONE
B913RC,"Personnel support","Current Dollars","Level",-6,T31105:24,A489RC
B913RG,"Personnel support","Fisher Price Index","Level",0,T31104:24,NONE
B913RL,"Personnel support","Fisher Quantity Index","Percent change, annual rate",0,T31101:24,NONE
B913RN,"Personnel support","Quantity Contributions","Level",0,T31102:24,NONE
B913RX,"Personnel support","Chained Dollars","Level",-6,T31106:24,NONE
B920RC,"Plus: Adjustment for U.S. territories and Puerto Rico","Current Dollars","Level",-6,T4030A:5,NONE
B921RC,"Plus: Adjustment for U.S. territories and Puerto Rico","Current Dollars","Level",-6,T4030A:16,NONE
B930RC,"To the rest of the world","Current Dollars","Level",-6,T11600:21,A054RC
